Taxa,Date,Date type,Date justification,Source,Aka,Epi notes,Misc Notes,Conflict date1,Conflict source1,Conflict date2,Conflict source2
AY350750|PUMC01|Human|China|2003.3192,2003-04-16,Estimated midpoint: epidemic bounds,The first apparent case of SARS in Beijing was identified on March 5  -- see Fig 2 -- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3092360/; “The last new case in Beijing was isolated on May 29.”: https://www.thelancet.com/pdfs/journals/lancet/PIIS0140673603137919.pdf -- set to midpoint," Zou, K et al., ACTA Academiae Medicinae Sinicae. 25, 495-498 (2003); https://www.besjournal.com/fileSWYXYHJKX/journal/article/swyxyhjkx/2006/6/PDF/bes200606007.pdf",,The SCV strain PUMC-01 was isolated from an individual in the Peking Union Medical Hospital : https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7095788/,,,,,
AY357075|PUMC02|Human|China|2003.3192,2003-04-16,Estimated midpoint: epidemic bounds,The first apparent case of SARS in Beijing was identified on March 5  -- see Fig 2 -- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3092360/; “The last new case in Beijing was isolated on May 29.”: https://www.thelancet.com/pdfs/journals/lancet/PIIS0140673603137919.pdf -- set to midpoint,https://www.besjournal.com/fileSWYXYHJKX/journal/article/swyxyhjkx/2006/6/PDF/bes200606007.pdf,,,,,,,
AY357076|PUMC03|Human|China|2003.3192,2003-04-16,Estimated midpoint: epidemic bounds,The first apparent case of SARS in Beijing was identified on March 5  -- see Fig 2 -- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3092360/; “The last new case in Beijing was isolated on May 29.”: https://www.thelancet.com/pdfs/journals/lancet/PIIS0140673603137919.pdf -- set to midpoint,https://www.besjournal.com/fileSWYXYHJKX/journal/article/swyxyhjkx/2006/6/PDF/bes200606007.pdf,,,,,,,
AY394998|CUHK-LC1|Human|Hong_Kong|2003.3685,2003-05-15,Estimated from onset of associated viruses,"The SARS-CoV sequence with the 415-nt deletion (CUHK-LC2, CUHK-LC3, CUHK-LC4, and CUHK-LC5) was obtained from two SARS patients whose disease was linked to a late cluster of SARS cases in Hong Kong; Late stage acording to SFig6 -- https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed; Late stage cluster, set to same date as LCxx viruses: https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,,,,,,,
AP006557|TWH|Human|Taiwan|2003.3082,2003-04-23,Estimated midpoint: epidemic bounds,Taiwanese epidemic was Early March - mid June -- more or less on point with TW1-10. Midpoint: https://www.pnas.org/content/101/8/2542.long,https://www.pnas.org/content/101/8/2542.long,,,,,,,
AP006559|TWK|Human|Taiwan|2003.3082,2003-04-23,Estimated midpoint: epidemic bounds,Taiwanese epidemic was Early March - mid June -- more or less on point with TW1-10. Midpoint: https://www.pnas.org/content/101/8/2542.long,https://www.pnas.org/content/101/8/2542.long,,,,,,,
AP006560|TWS|Human|Taiwan|2003.3082,2003-04-23,Estimated midpoint: epidemic bounds,Taiwanese epidemic was Early March - mid June -- more or less on point with TW1-10. Midpoint: https://www.pnas.org/content/101/8/2542.long,https://www.pnas.org/content/101/8/2542.long,,,,,,,
AP006561|TWY|Human|Taiwan|2003.3082,2003-04-23,Estimated midpoint: epidemic bounds,Taiwanese epidemic was Early March - mid June -- more or less on point with TW1-10. Midpoint: https://www.pnas.org/content/101/8/2542.long,https://www.pnas.org/content/101/8/2542.long,,,,,,,
AP006558|TWJ|Human|Taiwan|2003.3082+A12,2003-04-23,Estimated midpoint: epidemic bounds,Taiwanese epidemic was Early March - mid June -- more or less on point with TW1-10. Midpoint: https://www.pnas.org/content/101/8/2542.long,https://www.pnas.org/content/101/8/2542.long,,,,,,,
AY348314|TaiwanTC3|Human|Taiwan|2003.3082,2003-04-23,Estimated midpoint: epidemic bounds,Taiwanese epidemic was Early March - mid June -- more or less on point with TW1-10. Midpoint: https://www.pnas.org/content/101/8/2542.long,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7179562/,,TC2 and TC3 from mid-Taiwan area: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7179562/,"Clinical specimens including nasal and pharyngeal swabs, blood and stool from 3 SARS patients.",,,,
AY338175|TaiwanTC2|Human|Taiwan|2003.3082,2003-04-23,Estimated midpoint: epidemic bounds,Taiwanese epidemic was Early March - mid June -- more or less on point with TW1-10. Midpoint: https://www.pnas.org/content/101/8/2542.long,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7179562/,,TC2 and TC3 from mid-Taiwan area: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7179562/,"Clinical specimens including nasal and pharyngeal swabs, blood and stool from 3 SARS patients.",,,,
AY427439|AS|Human|Italy|2003.21,2003-03-18,Estimated midpoint: epidemic bounds,Date onset first probable case – 12-Mar-03; Date onset last probable case – 20-Apr-03: https://www.who.int/publications/m/item/summary-of-probable-sars-cases-with-onset-of-illness-from-1-november-2002-to-31-july-2003 -- but use date from https://raw.githubusercontent.com/plemey/SARSCoV2origins/master/BEAST/SARS-CoV/SARS-CoV-1.recDel.xml,https://www.who.int/publications/m/item/summary-of-probable-sars-cases-with-onset-of-illness-from-1-november-2002-to-31-july-2003; https://raw.githubusercontent.com/plemey/SARSCoV2origins/master/BEAST/SARS-CoV/SARS-CoV-1.recDel.xml,,,,,,,
AY559095|Sin847|Human|Singapore|2003.2671,2003-04-15,Estimated from onset of associated viruses,"Stable 1 says unknown -- all of the rest Sin84xx from April, so set to mid April?",Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,,,,,,,
AY323977|HSR1|Human|Italy|2003.29,2003-03-15,Estimated date of onset,Onset of illness began during the patient’s travel to Vietnam in March 2003. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3322807/,,patient’s travel to Vietnam in March 2003,frozen sputum sample collected from an Italian patient affected by a respiratory disease of unknown cause: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3322807/,2003-04-16,https://raw.githubusercontent.com/plemey/SARSCoV2origins/master/BEAST/SARS-CoV/SARS-CoV-1.recDel.xml,,
AY313906|GD69|Human|China_Guangdong|2003.5877,2003-08-03,Date of collection (unsure),Table A.1 -- Further dates were procured either from the literature or via personal communication,https://era.ed.ac.uk/handle/1842/5859,,,,2003-05-16,XML: https://www.nature.com/articles/s41564-020-0771-4 -- https://github.com/plemey/SARSCoV2origins/blob/master/BEAST/SARS-CoV/SARS-CoV-1.recDel.xml,,
